zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
UI18-02A-20,UI18-02A,Orca group,PWS,54.55248344,1.957903042,81,-3.902123626,1.059786981
UI18-02A-49,UI18-02A,Orca group,PWS,54.55248344,1.957903042,86.2,3.768547308,1.154574485
UI18-02A-81,UI18-02A,Orca group,PWS,54.55248344,1.957903042,91.8,7.927381818,0.966820979
UI18-02A-42,UI18-02A,Orca group,PWS,54.55248344,1.957903042,92.1,10.61944595,0.899063664
UI18-02A-99,UI18-02A,Orca group,PWS,54.55248344,1.957903042,95.8,-0.098133271,0.984369403
UI18-02A-10,UI18-02A,Orca group,PWS,54.55248344,1.957903042,101.8,-2.149745567,0.752133877
VZ18-11-250,VZ18-11,Orca group,PWS,54.55248344,1.957903042,53,-24.44356563,1.338912848
VZ18-11-285,VZ18-11,Orca group,PWS,54.55248344,1.957903042,53.7,13.40731509,1.252724144
VZ18-11-160,VZ18-11,Orca group,PWS,54.55248344,1.957903042,55.1,1.526991212,0.851616949
VZ18-11-162,VZ18-11,Orca group,PWS,54.55248344,1.957903042,55.3,5.867520303,1.151843174
VZ18-11-4,VZ18-11,Orca group,PWS,54.55248344,1.957903042,55.9,0.102332589,0.850471869
VZ18-11-156,VZ18-11,Orca group,PWS,54.55248344,1.957903042,71.3,-3.291703659,0.683018179
